historical_column,new_column,admitted,feature_tier,unit,reason
pair_MolWt,pair_MolWt,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_MolLogP,pair_MolLogP,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_MolMR,pair_MolMR,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_TPSA,pair_TPSA,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumHDonors,pair_NumHDonors,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumHAcceptors,pair_NumHAcceptors,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumRotatableBonds,pair_NumRotatableBonds,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumAromaticRings,pair_NumAromaticRings,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumAliphaticRings,pair_NumAliphaticRings,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumAromaticHeterocycles,pair_NumAromaticHeterocycles,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumAliphaticHeterocycles,pair_NumAliphaticHeterocycles,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumSaturatedRings,pair_NumSaturatedRings,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumHeteroatoms,pair_NumHeteroatoms,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_HeavyAtomCount,pair_HeavyAtomCount,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumValenceElectrons,pair_NumValenceElectrons,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NHOHCount,pair_NHOHCount,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NOCount,pair_NOCount,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_FractionCSP3,pair_FractionCSP3,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_RingCount,pair_RingCount,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_HallKierAlpha,pair_HallKierAlpha,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_0,pair_morgan_0,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_1,pair_morgan_1,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_2,pair_morgan_2,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_3,pair_morgan_3,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_4,pair_morgan_4,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_5,pair_morgan_5,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_6,pair_morgan_6,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_7,pair_morgan_7,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_8,pair_morgan_8,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_9,pair_morgan_9,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_10,pair_morgan_10,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_11,pair_morgan_11,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_12,pair_morgan_12,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_13,pair_morgan_13,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_14,pair_morgan_14,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_15,pair_morgan_15,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_16,pair_morgan_16,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_17,pair_morgan_17,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_18,pair_morgan_18,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_19,pair_morgan_19,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_20,pair_morgan_20,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_21,pair_morgan_21,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_22,pair_morgan_22,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_23,pair_morgan_23,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_24,pair_morgan_24,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_25,pair_morgan_25,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_26,pair_morgan_26,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_27,pair_morgan_27,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_28,pair_morgan_28,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_29,pair_morgan_29,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_30,pair_morgan_30,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_31,pair_morgan_31,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_32,pair_morgan_32,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_33,pair_morgan_33,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_34,pair_morgan_34,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_35,pair_morgan_35,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_36,pair_morgan_36,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_37,pair_morgan_37,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_38,pair_morgan_38,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_39,pair_morgan_39,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_40,pair_morgan_40,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_41,pair_morgan_41,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_42,pair_morgan_42,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_43,pair_morgan_43,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_44,pair_morgan_44,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_45,pair_morgan_45,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_46,pair_morgan_46,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_47,pair_morgan_47,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_48,pair_morgan_48,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_49,pair_morgan_49,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_50,pair_morgan_50,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_51,pair_morgan_51,True,M1_C0_OPEN,dimensionless,deterministically regenerated
