bytes,family,input_columns,loadability,parameters,path,rounds,scientific_status,sha256,smoke_rows,tensor_count,tensor_elements
371,weighted_median,,LOADABLE_FINITE_CONSTANT,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/acceptor_cold/weighted_median.json,,,4dfd99d3b027d5626f010e78a083598cf69c8fb493f10ba7f5bfda11c3952029,4,,
2595294,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/acceptor_cold/xgb_c0.json,500,,aa45aa8db38b36eeb89d35f33b6cb7bca3064a1e475271405397bb4a7ef652e5,4,,
2645084,XGBoost,535,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/acceptor_cold/xgb_c1p5_safe.json,500,,964e6cae291f9c71d833e5f9efdf816f6315fcfad5475c1ac65fdcf517a6af07,4,,
382,weighted_median,,LOADABLE_FINITE_CONSTANT,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/both_cold/weighted_median.json,,,71d175855222813ec62e781e70451314e1b67cd7c9489b1280f3e6ab908c011e,4,,
2552694,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/both_cold/xgb_c0.json,500,,049b740d7354031b4e15b71a748928485b01dffa0913c21e6d77c46b5a9ed81e,4,,
2653498,XGBoost,535,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/both_cold/xgb_c1p5_safe.json,500,,7471f31718b982321a43e55cab2c88cd15a55cbfb793d35d08b6d8e95a912368,4,,
380,weighted_median,,LOADABLE_FINITE_CONSTANT,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/donor_cold/weighted_median.json,,,0f4402167d3a96607714785872a7a563c2b0c0f4f1dabf9a34e7d12ca9f93f38,4,,
2635580,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/donor_cold/xgb_c0.json,500,,e82546da433d76ebe3ff9a473cf576279aef30ca264ee20f9844cd118ad57386,4,,
2731625,XGBoost,535,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/donor_cold/xgb_c1p5_safe.json,500,,09dd1d8f3832d1f3815dd4ac93bbbcd8022b9ee26559ab083adcd3ccf7e5aaa1,4,,
381,weighted_median,,LOADABLE_FINITE_CONSTANT,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/full_scaffold_cold/weighted_median.json,,,1f08f8ebcff9732879aa160b9fe091c82aa959dd3b35281eaf4c123e4cb0fc5b,4,,
2580419,XGBoost,532,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/full_scaffold_cold/xgb_c0.json,500,,98b675001d67a0c7345d1ccdce20fbfaadad975ee78ba71347a7978e04b65963,4,,
2690814,XGBoost,535,LOADABLE_FINITE_FORWARD,,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2a_ood_baselines/full_scaffold_cold/xgb_c1p5_safe.json,500,,7fe483e5fa7bc8fdaaefc68f0abd53e2ee8965015f320c478c3820158c17bd0e,4,,
