metric,protocol,value
retained_validation_records,both_cold_5fold,5034
buffer_records,both_cold_5fold,19974
retained_fraction,both_cold_5fold,0.20129558541266795
retained_donors,both_cold_5fold,158
retained_acceptors,both_cold_5fold,355
retained_validation_records,pair_cold_5fold,25000
buffer_insufficient_component_support_records,pair_cold_5fold,8
min_test_donor_train_support,pair_cold_5fold,1
min_test_acceptor_train_support,pair_cold_5fold,1
local_structure_quarantine_records,leave_one_cohort_out_external2698,18
local_structure_quarantine_records,leave_one_cohort_out_new15016,18
local_structure_quarantine_records,leave_one_cohort_out_old7316,34
