external2698,fold,groups,new15016,old7316,protocol,records
536,0,4908,3004,1462,unified_grouped_5fold_oof,5002
535,1,4910,3003,1464,unified_grouped_5fold_oof,5002
536,2,4909,3003,1462,unified_grouped_5fold_oof,5001
537,3,4908,3003,1462,unified_grouped_5fold_oof,5002
536,4,4908,3003,1462,unified_grouped_5fold_oof,5001
482,0,4396,2708,1236,source_stratified_acceptor_cold_5fold,4426
505,1,5176,3107,1660,source_stratified_acceptor_cold_5fold,5272
629,2,5622,3361,1659,source_stratified_acceptor_cold_5fold,5649
515,3,4798,2987,1321,source_stratified_acceptor_cold_5fold,4823
549,4,4755,2853,1436,source_stratified_acceptor_cold_5fold,4838
780,0,5219,3345,1169,donor_cold_5fold,5294
668,1,6278,3769,1992,donor_cold_5fold,6429
314,2,3461,2089,1100,donor_cold_5fold,3503
297,3,5064,2862,1965,donor_cold_5fold,5124
621,4,4593,2951,1086,donor_cold_5fold,4658
565,0,4860,3058,1325,scaffold_cold_5fold,4948
538,1,4912,2975,1481,scaffold_cold_5fold,4994
498,2,4766,2944,1409,scaffold_cold_5fold,4851
529,3,4854,2906,1523,scaffold_cold_5fold,4958
550,4,5151,3133,1574,scaffold_cold_5fold,5257
0,-1,8,0,8,pair_cold_5fold,8
552,0,4965,3016,1419,pair_cold_5fold,4987
551,1,5036,3041,1458,pair_cold_5fold,5050
539,2,4982,3008,1454,pair_cold_5fold,5001
513,3,4934,2954,1492,pair_cold_5fold,4959
525,4,4977,2997,1481,pair_cold_5fold,5003
2139,-1,19692,11981,5854,both_cold_5fold,19974
73,0,920,521,326,both_cold_5fold,920
142,1,933,577,214,both_cold_5fold,933
56,2,818,451,311,both_cold_5fold,818
70,3,917,587,260,both_cold_5fold,917
200,4,1446,899,347,both_cold_5fold,1446
8040,-1,24543,45048,21936,leave_one_cohort_out,75024
