arm,fold,group_macro_mae,group_macro_r2,group_macro_rmse,groups,protocol,record_mae,record_r2,record_rmse,records,source_cohort_macro_mae,source_gap,source_mae,worst_source_mae
xgb_c0_blind,aggregate,0.096300404008975,0.6877622403742929,0.13410345704607843,24543,donor_cold_5fold,0.09632972244654583,0.6877439592377771,0.13409006387948233,25008,0.09346651629793556,0.013050158015951607,"{'external2698': 0.08487662225006445, 'new15016': 0.09759614637772615, 'old7316': 0.09792678026601606}",0.09792678026601606
xgb_c0_observable_provenance,aggregate,0.08871399105093886,0.7375751510241093,0.12294184902700364,24543,donor_cold_5fold,0.08872802837421362,0.7377394314846385,0.12288748962235053,25008,0.08720445575238307,0.005821989876111905,"{'external2698': 0.08535683680802246, 'new15016': 0.09103926016261932, 'old7316': 0.08521727028650741}",0.09103926016261932
xgb_c0_blind,aggregate,0.10771121148136664,0.5891699939158879,0.15312372009555675,2641,leave_one_cohort_out_external2698,0.1074686125394864,0.5885731422899513,0.15265302445604642,2680,0.1074686125394864,0.0,{'external2698': 0.1074686125394864},0.1074686125394864
xgb_c0_observable_provenance,aggregate,0.2395028297105664,-0.5054851048962199,0.29323268167830874,2641,leave_one_cohort_out_external2698,0.23849516307841628,-0.5054735240326469,0.2920086086198471,2680,0.23849516307841628,0.0,{'external2698': 0.23849516307841628},0.23849516307841628
xgb_c0_blind,aggregate,0.17613599921648104,-0.5853249834358336,0.21916320835714734,14639,leave_one_cohort_out_new15016,0.17735148759969477,-0.6018529647178292,0.22038665121911094,15016,0.17735148759969477,0.0,{'new15016': 0.17735148759969477},0.17735148759969477
xgb_c0_observable_provenance,aggregate,0.169221712648097,-0.48371480758632224,0.21201160865527605,14639,leave_one_cohort_out_new15016,0.17030718677792284,-0.49767372667750887,0.21309956673320668,15016,0.17030718677792284,0.0,{'new15016': 0.17030718677792284},0.17030718677792284
xgb_c0_blind,aggregate,0.1545587199244543,-0.03395461334105354,0.2007305713641309,7298,leave_one_cohort_out_old7316,0.15467129495926332,-0.034575003328607634,0.20082515501956097,7312,0.15467129495926332,0.0,{'old7316': 0.15467129495926332},0.15467129495926332
xgb_c0_observable_provenance,aggregate,0.09964510599421661,0.4441560012023851,0.14719612766471354,7298,leave_one_cohort_out_old7316,0.0997406089549458,0.44381865387642083,0.14724661840432446,7312,0.0997406089549458,0.0,{'old7316': 0.0997406089549458},0.0997406089549458
xgb_c0_blind,aggregate,0.0867439295020167,0.7379749669714896,0.12285645144284925,24535,pair_cold_5fold,0.08671024373236692,0.7383580157604879,0.12275046335156359,25000,0.081563668690851,0.027071834474613643,"{'external2698': 0.06473194664844684, 'new15016': 0.08815527830104566, 'old7316': 0.09180378112306048}",0.09180378112306048
xgb_c0_observable_provenance,aggregate,0.08077403582610394,0.7758082859902852,0.11364134196094211,24535,pair_cold_5fold,0.08073639033993445,0.7763326284412255,0.11349343489125219,25000,0.07546523725550774,0.0222097503426415,"{'external2698': 0.06267289025687318, 'new15016': 0.08488264059951468, 'old7316': 0.07884018091013535}",0.08488264059951468
xgb_c0_blind,aggregate,0.08873885057214148,0.7281253737191645,0.12513580772752264,24543,scaffold_cold_5fold,0.08879003502103272,0.7278993617074743,0.125171643213851,25008,0.0844608449930394,0.025088293701151468,"{'external2698': 0.06941370931969969, 'new15016': 0.08946682263856733, 'old7316': 0.09450200302085116}",0.09450200302085116
xgb_c0_observable_provenance,aggregate,0.08289411967362242,0.7651048608381376,0.11631461230534385,24543,scaffold_cold_5fold,0.08295589729056746,0.7649637794665004,0.11633451154946552,25008,0.07869871854455783,0.01808974652664222,"{'external2698': 0.0679891218124475, 'new15016': 0.08607886833908972, 'old7316': 0.08202816548213628}",0.08607886833908972
xgb_c0_blind,aggregate,0.09450322827701527,0.6910272964953236,0.13340045751724586,24543,source_stratified_acceptor_cold_5fold,0.09439421241546872,0.6919115700313743,0.13319222311021245,25008,0.09338079036796132,0.012463738914242767,"{'external2698': 0.08732468741589589, 'new15016': 0.09302925735784943, 'old7316': 0.09978842633013865}",0.09978842633013865
xgb_c0_observable_provenance,aggregate,0.08867806011829553,0.7286196375371505,0.12502200851214235,24543,source_stratified_acceptor_cold_5fold,0.08853452550578433,0.7297345334927663,0.12474882153106112,25008,0.08801712784056988,0.004711008642160258,"{'external2698': 0.08863095675121564, 'new15016': 0.09006571770632714, 'old7316': 0.08535470906416688}",0.09006571770632714
xgb_c0_blind,aggregate,0.08676069403543592,0.738727276987496,0.12267167586169045,24543,unified_grouped_5fold_oof,0.08685517348819237,0.7383214324815014,0.12275105972538641,25008,0.0818920713951715,0.026869172829489432,"{'external2698': 0.06536924880931058, 'new15016': 0.0880685437374039, 'old7316': 0.09223842163880001}",0.09223842163880001
xgb_c0_observable_provenance,aggregate,0.08103029589345803,0.7747093239367959,0.11391184123764807,24543,unified_grouped_5fold_oof,0.0810928299597199,0.7746504251348427,0.11391201778494466,25008,0.07614820043691568,0.020889033338296434,"{'external2698': 0.06401479622729715, 'new15016': 0.08490382956559359, 'old7316': 0.07952597551785634}",0.08490382956559359
