arm,ci95,mean,protocol,replicates
xgb_c0_blind,"[0.09515596181154251, 0.0974852442741394]",0.096300404008975,donor_cold_5fold,10000
xgb_c0_observable_provenance,"[0.0876741111278534, 0.08980123698711395]",0.08871399105093886,donor_cold_5fold,10000
xgb_c0_blind,"[0.10358424484729767, 0.11190035194158554]",0.10771121148136664,leave_one_cohort_out_external2698,10000
xgb_c0_observable_provenance,"[0.23319853842258453, 0.24592344462871552]",0.2395028297105664,leave_one_cohort_out_external2698,10000
xgb_c0_blind,"[0.17394322156906128, 0.1782533973455429]",0.17613599921648104,leave_one_cohort_out_new15016,10000
xgb_c0_observable_provenance,"[0.1670650839805603, 0.1712944060564041]",0.169221712648097,leave_one_cohort_out_new15016,10000
xgb_c0_blind,"[0.15158306062221527, 0.157514289021492]",0.1545587199244543,leave_one_cohort_out_old7316,10000
xgb_c0_observable_provenance,"[0.09718812257051468, 0.10208912193775177]",0.09964510599421661,leave_one_cohort_out_old7316,10000
xgb_c0_blind,"[0.08565950393676758, 0.08782320469617844]",0.0867439295020167,pair_cold_5fold,10000
xgb_c0_observable_provenance,"[0.07976464927196503, 0.08176454156637192]",0.08077403582610394,pair_cold_5fold,10000
xgb_c0_blind,"[0.08764278888702393, 0.08983469009399414]",0.08873885057214148,scaffold_cold_5fold,10000
xgb_c0_observable_provenance,"[0.08187323063611984, 0.08393559604883194]",0.08289411967362242,scaffold_cold_5fold,10000
xgb_c0_blind,"[0.09227709472179413, 0.09902587532997131]",0.09556866273099893,source_stratified_acceptor_cold_5fold,10000
xgb_c0_observable_provenance,"[0.08613774180412292, 0.09219113737344742]",0.0890781372629361,source_stratified_acceptor_cold_5fold,10000
xgb_c0_blind,"[0.0856870487332344, 0.08785827457904816]",0.08676069403543592,unified_grouped_5fold_oof,10000
xgb_c0_observable_provenance,"[0.0800359770655632, 0.0820448100566864]",0.08103029589345803,unified_grouped_5fold_oof,10000
