structure_group_id_v1,structure_group_size,molecule_ids_numeric_sorted,unique_donor_ids,donor_ids_numeric_sorted,unique_acceptor_ids,acceptor_ids_numeric_sorted,unique_donor_structures,unique_acceptor_structures,unique_role_aware_groups,role_annotation_consistent,atom_count_consistent,sidecar_atom_origin_consistent,dft_pdb_json_geometry_consistent,d81_a28_conflict_in_group,geometry_reference_id,geometry_resolved_comparisons,geometry_unresolved_comparisons,geometry_mapping_methods,heavy_atom_rmsd_min_angstrom,heavy_atom_rmsd_max_angstrom,geometry_unresolved_reasons,primary_range_eV,meaningful_target_disagreement_count,representative_eligible_under_strict_rule
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,D41_A28;D42_A28,2,D41;D42,1,A28,1,1,1,True,True,True,True,False,D41_A28,1,0,RESOLVED_INDEX_GRAPH,0.0007687912916116044,0.0007687912916116044,,0.00015371428571431256,7,False
004806c34d49a74c57db7b08ce52a6bf00b12bba59575671611280b41f065d23,2,D52_A172;D53_A172,2,D52;D53,1,A172,2,1,2,False,True,True,True,False,D52_A172,1,0,RESOLVED_INDEX_GRAPH,0.014425407565077653,0.014425407565077653,,0.00014257142857143634,11,False
013e9de0be4c2764525799a8bfb123c58f3d5865e3089248cfe3599a6bbadb8f,2,D96_A13;D96_A14,1,D96,2,A13;A14,1,1,1,True,True,True,True,False,D96_A13,1,0,RESOLVED_INDEX_GRAPH,0.0011672455276433287,0.0011672455276433287,,0.00010771428571443309,11,False
01637edca597f7b58c3d8c390f5d09fb933dfca64c12a014c47953e9bb924e02,2,D41_A355;D42_A355,2,D41;D42,1,A355,1,1,1,True,True,True,True,False,D41_A355,1,0,RESOLVED_INDEX_GRAPH,0.054746037957682306,0.054746037957682306,,0.031149714285714225,16,False
01e52254fee79dff8fda2269c4ed1ddc17a6c2222a5ab76d970bc5cd42d741bc,2,D157_A23;D157_A30,1,D157,2,A23;A30,1,2,2,False,True,True,True,False,D157_A23,1,0,RESOLVED_INDEX_GRAPH,9.334662625523755e-07,9.334662625523755e-07,,2.8571428578594293e-07,0,False
0206c18ddadcc03e1b436a95867f980987247add48e35c519219a782c5146140,2,D41_A8;D42_A8,2,D41;D42,1,A8,1,1,1,True,True,True,True,False,D41_A8,1,0,RESOLVED_INDEX_GRAPH,0.0005522645539668941,0.0005522645539668941,,0.0002851428571428727,7,False
0236a889890742ca11fa0f61ba32507b9ceff245752ad1180c4eacc34db6bd77,2,D52_A367;D53_A367,2,D52;D53,1,A367,2,1,2,False,True,True,True,False,D52_A367,1,0,RESOLVED_INDEX_GRAPH,0.0005699729790618083,0.0005699729790618083,,0.00010571428571432007,6,False
0412b0ca45bbadb4bcd1fc9187dc3faee5835c7669fe4876a2203bd63e414592,2,D41_A163;D42_A163,2,D41;D42,1,A163,1,1,1,True,True,True,True,False,D41_A163,1,0,RESOLVED_INDEX_GRAPH,0.6528570168012893,0.6528570168012893,,0.014904285714285703,16,False
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,2,D17_A185;D17_A186,1,D17,2,A185;A186,1,2,2,False,True,True,True,False,D17_A185,1,0,RESOLVED_INDEX_GRAPH,0.0004836892103750906,0.0004836892103750906,,5.314285714286271e-05,3,False
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,D167_A13;D167_A14,1,D167,2,A13;A14,1,1,1,True,True,True,True,False,D167_A13,1,0,RESOLVED_INDEX_GRAPH,0.00526064582319082,0.00526064582319082,,0.004424857142857175,13,False
