structure_group_id_v1,structure_group_size,target,target_role,non_null_count,meaningful_tolerance,min,max,range,mean,std_population,maximum_absolute_deviation,exact_consistency,allclose_consistency,meaningful_disagreement
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_coulomb_attraction_eV_eps3p5_proxy,primary,2,0.001,0.6639051428571429,0.6640588571428572,0.00015371428571431256,0.6639820000000001,7.685714285715628e-05,7.685714285721179e-05,False,False,False
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_excitation_energy_ev,secondary,2,0.001,2.3802,2.3803,0.00010000000000021103,2.38025,5.0000000000105516e-05,5.000000000032756e-05,False,False,False
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_wavelength_nm,secondary,2,0.1,520.88,520.89,0.009999999999990905,520.885,0.0049999999999954525,0.0049999999999954525,False,False,False
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_oscillator_strength,secondary,2,0.0001,1.5722,1.5723,9.999999999998899e-05,1.57225,4.999999999999449e-05,5.0000000000105516e-05,False,False,False
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_transition_dipole_au,secondary,2,0.0001,5.898528035846282,5.899428259038764,0.0009002231924819526,5.898978147442524,0.0004501115962409763,0.0004501115962414204,False,False,True
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_coulomb_attraction_au,secondary,2,1e-05,0.085393,0.085413,2.0000000000006124e-05,0.085403,1.0000000000003062e-05,1.0000000000010001e-05,False,False,True
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_coulomb_attraction_eV,secondary,2,0.001,2.323668,2.324206,0.0005380000000001495,2.323937,0.00026900000000007473,0.0002690000000002968,False,False,False
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_Sm,secondary,2,1e-05,0.59286,0.59296,9.999999999998899e-05,0.59291,4.999999999999449e-05,4.999999999999449e-05,False,False,True
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_Sr,secondary,2,1e-05,0.84613,0.84625,0.00011999999999989797,0.84619,5.999999999994898e-05,5.999999999994898e-05,False,False,True
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_D_index_angstrom,secondary,2,0.001,1.161,1.162,0.0009999999999998899,1.1615,0.0004999999999999449,0.0004999999999999449,False,False,False
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_H_CT_angstrom,secondary,2,0.001,7.784,7.784,0.0,7.784,0.0,0.0,True,True,False
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_t_index_angstrom,secondary,2,0.001,-6.623,-6.622,0.001000000000000334,-6.6225000000000005,0.000500000000000167,0.0005000000000006111,False,False,True
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_HDI,secondary,2,0.001,4.25,4.26,0.009999999999999787,4.255,0.004999999999999893,0.004999999999999893,False,False,True
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_EDI,secondary,2,0.001,4.07,4.07,0.0,4.07,0.0,0.0,True,True,False
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_Q_D_to_A_au,secondary,2,1e-05,-0.005525,-0.005525,0.0,-0.005525,0.0,0.0,True,True,False
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_dipole_change_norm_au,secondary,2,0.001,2.166123,2.16723,0.0011070000000001912,2.1666765,0.0005535000000000956,0.0005535000000000956,False,False,True
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,2,tddft_hole_on_donor_fraction,masked_auxiliary,0,1e-05,,,,,,,False,False,False
