molecule_id,canonical_smiles_sha256,in_old7316,in_external2698,in_final673,in_legacy3371,allowed_for_new_training,forbidden_reason
D100_A12,16c7478c61bef0f5878ea7ff1e14224c55ab8bc72977f6e09396e237065008b4,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A14,76349c5de57d407e450a2ebe659508e6b20dd79811e5d8065be94115e3c61005,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A15,7681712d7a4530361cdde4660f2819d4b09036c6101d0ff289ee37500d214c8f,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A21,c0b03918f837bae9f29a2784f79a009aded5a18725afef947f81c68f4ad4fba4,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A23,3defcb0ea5d323dbf6d4fdd684ffc78549ffc2c8e2f49348debe71934c5a5677,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A331,7f072394672b8140cf77f44658673c06918402c9d90ba7af610fc9adba585361,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A332,6b861e5f6e06183ad937f72e04b67c58aa97e173207887f1d6eed26943886399,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A334,341fd7ab50d0149259516eebf8d0e1a96df8dc2146678789d2c3667b820325d6,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A336,07d0197fdad361bf432fe7702d4d901a8e949b34d9d4870ebe9608577ceb03bb,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A338,b054ca25ef1cf4171ac0b00a0c1ac218034373802d17d871f1a3eb639fbb4ff9,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A341,a2365ddc668878c70143e89ae36eb4493cd7a8f0eaf57e7fce59973c095e45b1,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A347,30de3276d485400f3fe37171a28b348f55ee23a83414a8e7b83c246cca20b623,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A348,601e5b71aa7d4f377b497329462248639317ddf9acbb4b7e5e57bf45daafedf8,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A349,32560de54c38142c653016f677947dc5a049fed3820749f78e4239f147a5a3eb,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A350,43b9a3e239d66acd54481dbd7d9ceb974e5d33ead7c324b17a8072c2a75e324d,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A356,dcb82762a67a6b98f59b6d3002ce0a6d932cc47cf07314335b66c6b34ebd09d7,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A357,337a0441333b0b835531ffcf5a792809521417dc0814ec86b178a4511471e64a,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A358,8ec68290136a6a35f35ab77c78ee6df594a4d11123b149eb1fb4a154939584db,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A359,7e1209bd55aa04b2ec40ddfba38e4fc7e1fe475ca72ab4d3aae424ecfd39d679,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A360,df29065c6ebd8bbec7c67bdc1f3418ba9c08489fe6cae8ddca65dc61e41ac326,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A362,9acda3e2cf73a900b29917204645052a19886554d00425c4f7b99e5bf735ab81,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A363,275a6521324a3404cb93e0444cf6a1ec84a49e8e57873dd77e9a6db674d2e3ca,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A364,fb6d16fb793205c8689dacb6bdad3eb17942b20fe923bcadffd3474ca39e54f1,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A369,0ee2132781930f1f2b94eda19fe02fa83eeea40c65cfd746e69844d443d0e7c8,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A370,4a1d7f1f591a123aa9582c441ea92384ca956f21ff68fa75557a7e79b3390a3a,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A371,9eb567a478eab8f8f31bfe433d0acecc50a1bea605f16704c99185a5dba37a66,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A372,d90ddfa57706119991771b5e29cad4b5dc7b10e422fe3d2232251689e7e59a7a,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A373,1a52be1364f7d617a5e06a31b3a070a23a92e5fcf18e1c97356fb872bbe7f820,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A374,6fa54ce583c8fbbe9c51f255a02f818639aa14361125bf4a37edbd967a3001c7,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A375,10bc0782ae7471e358e766695d78577ca6d18cc4b5b2337fd4b3742b9c868743,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A376,e132573276fb9e86aefdbdcb215ae61117d3abbb5ecd7146bc8860d4dd3a031a,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A377,cd7c767cd94aae095df08ac984a7e14930016e0127d2ed5eb4c7e128a1bb633b,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A378,7788355bd2ea76c693bce1feb08c759b3f01b6199e5d263ba8f19120569abeb2,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A379,9493089a41c1efeacf404073cfd449f25c0d5f66f533fb16ce6fc7fdb1928bb2,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A39,8c7079522fbfd3276c77b1f3ff1f96457ec36db942d4d1cb1b2ae42aa0e82b04,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D100_A5,0b61e79a37b899a9358f74e2a0eaa4a8171101c162b5fe054e91e55872031fee,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A12,d80bd53c9cb74c18e4788610a66014ea10933f4964be895fa29cdef3a25316cb,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A14,796d3457835836ec751c7e2dcfbd4088f7c2b1216373254c0b2d9c223b71b996,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A15,c95b58ad173139370ed1200a0011223620a2211e34763feb7c09e517b40962f7,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A23,e34378b3f171388afa81271d9397ae97702fe1b1749fd6e18704ab9bd67d215b,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A24,ffc1cb8484912846dc06df841a29d45b84cae097ff84dd01aae7e24acbfb151c,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A338,ea84bb2b7ca876bc4171f834f98503a4fce8a7cfd2f430c0e2c13836a15e22f7,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A347,7b72cce7691fe6b25a2e1e1a1661480e2da013f82008f95c86960e2358c638b5,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A348,bf98c985e8ba5f3276c4f1b2bf9fa4a1151f8f177d28fafc6404205f55b497ae,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A349,4d9204b7406b591859ad4243b308abd929d72c70632892043f366a0d4bffd3d1,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A350,b83ef74a09a7bc05aeaae0818113da39cb7f8931230cbce8404d2defa21191eb,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A355,b7bd1e79ffc4f72d739ca6d5022256416db7c915151d1d0ec5084ab0a477907f,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A356,b652136a2a85f932ab137cace3141112ad362c12088bd53632dc13c46030b765,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A357,d226baa7f6e72ab1f660139cccc5531fbe052594d20b5562feaede87f5c0f085,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A358,c2ca531e80b4005859dc3718836203e6c91b7648a30505c2f70b01e26a012dbb,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
D101_A359,0976da02afcb7609261b5ff2932a6958edd98970c6c295663daf966de7ffe11d,False,False,REDACTED_SEALED_SET,False,SEALED_CHECK_REQUIRED,
