structure_group_id_v1,deterministic_representative_molecule_id,selection_rule,strict_representative_eligible,role_consistent,geometry_fully_resolved,sidecar_consistent,meaningful_target_disagreement_count
000056b2a954d209520830a9d6dafa4b94e6b8cfae89cdff33b125cc945ebda0,D41_A28,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,7
004806c34d49a74c57db7b08ce52a6bf00b12bba59575671611280b41f065d23,D52_A172,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,11
013e9de0be4c2764525799a8bfb123c58f3d5865e3089248cfe3599a6bbadb8f,D96_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,11
01637edca597f7b58c3d8c390f5d09fb933dfca64c12a014c47953e9bb924e02,D41_A355,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,16
01e52254fee79dff8fda2269c4ed1ddc17a6c2222a5ab76d970bc5cd42d741bc,D157_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
0206c18ddadcc03e1b436a95867f980987247add48e35c519219a782c5146140,D41_A8,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,7
0236a889890742ca11fa0f61ba32507b9ceff245752ad1180c4eacc34db6bd77,D52_A367,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,6
0412b0ca45bbadb4bcd1fc9187dc3faee5835c7669fe4876a2203bd63e414592,D41_A163,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,16
05055b17f3ecbdf6b0324e78231f4a23b62b3821a9b5d4e5482c11f4679f7e9f,D17_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,3
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,D167_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,13
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,D18_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
098ee010724bf4f662fefaa2d8cb69eca4f04a5319a7f50478471dcc19594003,D19_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
0a584dbff7630d94ec0275983bd86f95dda6dc279cca0c553973565c098d641f,D139_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,15
0b0f61a8598816c1b3964b8138ef9b456b5579b0c921ee1900dfc5f1426962ca,D39_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,8
0bcc7093ef4b5af716a5c073d13473a62088bf33f6b3041c5997cc00e2314dfb,D41_A175,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,14
0dd9a508b07c4942bfd2331b0394900063ef04aa15142fcf4024671e2d8b5ef4,D18_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
0eca777ff5914487048701d83fa8ceaab1ad4592ac7dd9975c50a38d837e5d9d,D25_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
0f48900e8b76c68a102619582e2fe0eeeaabe8bb8cf8eb1e0335b76a601ef321,D31_A274,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,12
10b831fe63a7812e19392d8aacb3ff1368d708d83947880f1675a3d4dc65204a,D52_A183,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
10db5efceb392de2f098bedcf15363f655d1142ac63b47602e575808ffea7622,D54_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
116e2bd501b6eab956d9ffb8ed2a27e700be54152df9b28fe02569d44faacabd,D52_A279,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
138f94f006948dc15f5c776645f39c0211231141f13890063a82a05ea13b7028,D48_A274,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,15
13c1953fadbf4b128c193b8256bed65568f7d0cea67cba7e3d11496f880e4df8,D158_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
13c1f2b74e3b5cda4deb1a47c796e43516e506d187c4b9f4d3cb8ac6e542a40b,D27_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,0
1420049dace7211eb83ba5907fe622178f7b54c1790a0c7c2af31f8ad960ab26,D135_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
14b1b4706503970c4b7ed0dddcef5f339acb6eaa65b82ea905fa4b091c652115,D52_A140,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
15d957ebdf722de59c0c8e4e563640d0816af7c4b4b1f2bee86f48605e829bf5,D52_A189,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,15
16581324475eeded485a94c83c88138016be702d81b41182862d31147d077531,D170_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,5
16f3d1b1aa321c6011a78f7296eaa9b58c95cdd02adc66c0b809195e7149b1fc,D121_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,6
182b871a067563e1366a23da9ee92962f5171163b281c8d859c689ec3ac15326,D92_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,2
1970969622588e07e9bdf6065ad9460895f2b172abdeb27e821688f232b6b792,D41_A373,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,1
19870f76593f07dbc2c4206080e9fb78da295e2cad2e55cb2c75e58736282ebb,D63_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,11
1a4242cff361bc778f05fcaa39b3f9d4b9e05fe08c65f17759fbab84f9476853,D41_A280,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,8
1a4a82aad85e121fbc545bec3d01e7cf4253f892a435ccc509f09b1c64be0d9a,D12_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,3
1b5bb77616cea3fd3dcc98539351621aa3f5e00050c305e53b355476a70deac6,D52_A17,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,11
1b647e7017b7ac0a1fd0620be81fa9c6df46dab57d638fb271b0a9e52c2d20dd,D146_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,12
1ba604c5fc4f500a5fed53310e9f20a9d3c3a778edc3492e60d1e60a39f2e932,D41_A16,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,7
1cdc85d966ad429cacf5272d77ce9194a82f69f5e6a75303b23da54fb5965f19,D52_A368,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,9
1e110dbcb49a616b207025d1260bd91c731386840b2b30f0da27e825a25bdded,D52_A365,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,11
1e72c3eb23ea6d0b04cdbce6548968641bebf4674ecc617b3e4be0956841a9e0,D52_A259,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,16
1ef2853a81442a34bf334ae986013da3d987ccc88d04f98d17b8a0a610f68b8c,D55_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,7
1f5da7b682a6ea6cf9a6006dcbf9ca516fc7ff32e3b7f97f67c1ae87f7953d34,D41_A25,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,11
1f8897f1f85f8594bf925ed1cc14941f6e525e946dd2be957ba80923097ae6ae,D30_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,12
214fdce902d34b70b9fe1bee32652b18255257d862faa7248816f46d48cd9497,D119_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,2
21c9dd74de0ae4f7b833f43955b1f5f3b503d5e4b7e83345e09c514b9737bfb4,D37_A182,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,15
2238fc4b82609500db28e6b3cbb07551af4ad7bd97e9910bafaa719bc9e6fe7f,D29_A185,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,14
24441f51971564d9187eb5549cc59ecf361dfb18974c65b6564da96f789b04a8,D135_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,9
24768b7ac86674ef4f5536fd63df9c99bbaf83f0140ac832bc69188f6c5a9d64,D123_A23,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,14
24ea6b920874def873fec4692f60ce8c789d491bdfc3bfbba1bd6fd0659f1508,D52_A6,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,9
2511d439a5893069d4710f26e174f490e73e50ef038d39aed78c5a67b6bcd0ca,D140_A13,"lowest numeric (donor_number, acceptor_number)",False,True,True,True,14
25a174e9476e42dc7ef0891e0c07826e892271bb89fa543dc01f8fabf399d255,D52_A5,"lowest numeric (donor_number, acceptor_number)",False,False,True,True,14
