sid,true_eb_eV,pred_eb_eV,target_seed42,b21_seed42_pred_eV,target_seed123,b21_seed123_pred_eV,target_seed456,b21_seed456_pred_eV,b21_three_seed_ensemble_pred_eV,cheap_abs_error_eV,b21_ensemble_abs_error_eV,abs_error_delta_cheap_minus_b21_ensemble_eV
D-144_A-111,0.7183572728487295,0.6588812,0.71835726,0.6498513,0.71835726,0.6436877,0.71835726,0.66574204,0.65309368,0.05947607284872958,0.06526359284872951,-0.005787519999999935
D-127_A-37,0.8046406912938651,0.8377513,0.8046407,0.79892826,0.8046407,0.8100289,0.8046407,0.8201555,0.8097042200000001,0.033110608706134914,0.005063528706135023,0.02804707999999989
D-85_A-37,0.9627543947466244,0.9112072,0.96275437,0.9598168,0.96275437,0.93277097,0.96275437,0.9134321,0.9353399566666667,0.05154719474662439,0.027414438079957693,0.0241327566666667
D-153_A-123,0.7889747074979606,0.74037033,0.7889747,0.7290646,0.7889747,0.7725851,0.7889747,0.7952062,0.7656186333333332,0.04860437749796065,0.023356074164627372,0.025248303333333277
D-22_A-256,0.7361379700900365,0.85226715,0.736138,0.84458923,0.736138,0.8879001,0.736138,0.90268254,0.8783906233333333,0.11612917990996352,0.14225265324329683,-0.026123473333333314
D-142_A-288,0.6349971347545914,0.59282213,0.6349971,0.54475546,0.6349971,0.5749266,0.6349971,0.56037545,0.56001917,0.04217500475459146,0.0749779647545914,-0.03280295999999994
D-166_A-153,0.6829746960471604,0.688659,0.6829747,0.7357167,0.6829747,0.6675314,0.6829747,0.72284484,0.7086976466666667,0.005684303952839587,0.025722950619506246,-0.02003864666666666
D-127_A-174,0.5762438645086111,0.7209074,0.5762439,0.6010556,0.5762439,0.64162254,0.5762439,0.6364919,0.6263900133333333,0.14466353549138888,0.050146148824722236,0.09451738666666665
D-135_A-319,0.6590597748778293,0.67434275,0.65905976,0.60477424,0.65905976,0.6520194,0.65905976,0.6265446,0.6277794133333333,0.015282975122170694,0.03128036154449598,-0.015997386422325288
D-28_A-187,0.7736508097005771,0.8853275,0.7736508,0.8068954,0.7736508,0.84332055,0.7736508,0.88066673,0.8436275599999999,0.11167669029942295,0.06997675029942285,0.0416999400000001
D-7_A-135,0.7876841103217223,0.8030379,0.7876841,0.8290118,0.7876841,0.75737774,0.7876841,0.7267246,0.7710380466666665,0.015353789678277718,0.01664606365505572,-0.0012922739767780023
